1,208
5.23333,152
9.46667,236
13.7,300
17.9333,493
22.1667,490
26.4,464
30.6333,408
34.8667,743
39.1,1864
43.3333,5047
47.5667,4840
51.8,1247
56.0333,271
60.2667,181
64.5,144
68.7333,125
72.9667,112
77.2,81
81.4333,99
85.6667,113
89.9,107
94.1333,91
98.3667,96
102.6,92
106.833,121
111.067,115
115.3,168
119.533,1188
123.767,2292
128,616
132.233,185
136.467,149
140.7,151
144.933,206
149.167,439
153.4,2084
157.633,2287
161.867,548
166.1,613
170.333,647
174.567,772
178.8,1255
183.033,1966
187.267,8918
191.5,9700
195.733,17745
199.967,68062
204.2,29745
208.433,42908
212.667,86249
216.9,1580
221.133,643
225.367,2782
229.6,866
233.833,81
238.067,37
242.3,37
246.533,52
250.767,3989
